Orthogroup	fly	bombus
OG0006887	tr|Q95RY2|Q95RY2_DROME	XP_003487130.1
OG0006889	tr|Q9VCC2|Q9VCC2_DROME	XP_003486958.1
OG0006891	tr|A1ZAR6|A1ZAR6_DROME, tr|Q9VQG0|Q9VQG0_DROME	XP_003486657.1
OG0006892	tr|Q9VTY5|Q9VTY5_DROME	XP_003486622.1
OG0006893	sp|Q9VIW7|RTCB_DROME	XP_003486446.1
OG0006894	tr|Q9VWG2|Q9VWG2_DROME	XP_003486417.1
OG0006895	tr|Q9VG79|Q9VG79_DROME	XP_003486316.1
OG0006897	tr|Q9VW73|Q9VW73_DROME	XP_003485914.1
OG0006898	tr|Q76NQ0|Q76NQ0_DROME	XP_003485760.1
OG0006899	tr|Q9VKM7|Q9VKM7_DROME	XP_003485758.1
OG0006900	sp|P23696|PP2A_DROME	XP_003485654.1
OG0006901	tr|Q9W4J6|Q9W4J6_DROME	XP_003485495.1
OG0006902	sp|P26017|PC_DROME	XP_003485300.1
OG0006903	tr|Q9VIG1|Q9VIG1_DROME	XP_003485298.1
OG0006904	tr|Q9VVP9|Q9VVP9_DROME, tr|Q8IQT0|Q8IQT0_DROME	XP_003485099.1
OG0006905	tr|Q8IR80|Q8IR80_DROME	XP_003485078.1
OG0006906	tr|Q7JVK6|Q7JVK6_DROME	XP_003484941.1
OG0006907	sp|Q8SZA8|ADXH2_DROME	XP_003484868.1
OG0006908	tr|Q9W0N8|Q9W0N8_DROME, tr|Q8IRI8|Q8IRI8_DROME, tr|Q8IP31|Q8IP31_DROME, tr|Q9VJN0|Q9VJN0_DROME	XP_003484729.1
OG0006909	tr|Q9VZF1|Q9VZF1_DROME	XP_003484693.1
OG0006910	tr|Q9VZZ5|Q9VZZ5_DROME, tr|Q9VZZ6|Q9VZZ6_DROME	XP_003484606.1
OG0006911	tr|A0A0B4K6Q5|A0A0B4K6Q5_DROME	XP_003484589.1
OG0006912	tr|A1Z8V7|A1Z8V7_DROME, sp|Q9NEF6|VATD2_DROME, sp|Q9V7D2|VATD1_DROME	XP_003484434.1
OG0007250	sp|P04950|OPS3_DROME, sp|P08255|OPS4_DROME	AAV67326.1, NP_001267052.1
OG0007250	sp|P91657|OPS5_DROME	XP_003494923.1
OG0007250	sp|P06002|OPS1_DROME, sp|P08099|OPS2_DROME, sp|O01668|OPS6_DROME	AAS55406.1, XP_012237085.1, AAO41019.1, XP_012237087.1, AAS55402.1
OG0007251	sp|Q9VCR6|SAV_DROME	XP_012249027.1, XP_012249026.1, XP_033180434.1, XP_033180435.1
OG0007253	sp|Q86BA1|MICAL_DROME	XP_012248697.2, XP_012248698.3, XP_024227785.2, XP_024227786.2, XP_012248700.2
OG0007254	tr|Q9W0V0|Q9W0V0_DROME, tr|Q8IRH3|Q8IRH3_DROME	XP_033180225.1
OG0007255	tr|Q9VC98|Q9VC98_DROME, tr|Q9VCN5|Q9VCN5_DROME	XP_024227479.1
OG0007255	sp|Q9VJN9|SEMP1_DROME, tr|Q9V3R0|Q9V3R0_DROME, tr|Q9V421|Q9V421_DROME, tr|Q9V3M3|Q9V3M3_DROME, tr|Q9V445|Q9V445_DROME, tr|Q9V402|Q9V402_DROME, tr|Q9VWR6|Q9VWR6_DROME	XP_003494483.3
OG0007256	tr|Q7PLI0|Q7PLI0_DROME	XP_024227591.1, XP_024227592.1, XP_024227590.1, XP_033180184.1, XP_024227593.1, XP_024227596.1, XP_024227595.1, XP_024227597.1, XP_012248410.1, XP_033180186.1, XP_024227598.1, XP_033180187.1, XP_024227599.1, XP_024227600.1, XP_033180189.1
OG0007258	sp|P41375|IF2B_DROME	XP_033179751.1, XP_024227084.1, XP_003493705.1
OG0007259	sp|P43248|MSH2_DROME	XP_033179579.1, XP_012247085.1, XP_003493495.1, XP_033179580.1, XP_024226892.1, XP_033179578.1
OG0007260	tr|Q9VFF2|Q9VFF2_DROME	XP_024226881.1, XP_012247073.1, XP_033179571.1, XP_033179572.1, XP_024226880.1
OG0007261	tr|Q9VKH3|Q9VKH3_DROME, sp|P39770|SALM_DROME	XP_033179526.1
OG0007262	tr|Q9VQ78|Q9VQ78_DROME	XP_033179501.1, XP_024226738.1
OG0007263	tr|Q8SXI2|Q8SXI2_DROME	XP_012246324.1, XP_033179202.1
OG0007264	tr|Q9W2V7|Q9W2V7_DROME	XP_033179189.1, XP_003492911.1, XP_033179190.1
OG0007265	tr|Q9V9Q4|Q9V9Q4_DROME	XP_033179168.1, XP_012246276.1, XP_033179167.1, XP_012246277.1, XP_012246275.1
OG0007266	sp|P10735|RT12_DROME	XP_033179053.1, XP_012245964.1
OG0007267	tr|Q9VBY5|Q9VBY5_DROME	XP_033178798.1
OG0007268	tr|Q9I7V0|Q9I7V0_DROME	XP_033178750.1
OG0007269	tr|Q9XYY9|Q9XYY9_DROME	XP_033178531.1, XP_024225706.1, XP_012244901.1, XP_012244900.1
OG0007270	tr|Q4QQ12|Q4QQ12_DROME	XP_033178467.1
OG0007271	sp|P48611|PTPS_DROME	XP_033178464.1, XP_012244940.1, XP_012244939.1
OG0007272	sp|P45888|ARP2_DROME	XP_033178459.1, XP_033178457.1, XP_033178458.1, XP_033178460.1
OG0007273	tr|Q7K1D7|Q7K1D7_DROME	XP_033178415.1, XP_003492008.1
OG0007274	tr|Q9V4E0|Q9V4E0_DROME, tr|Q9VBR4|Q9VBR4_DROME	XP_033178380.1, XP_033178381.1
OG0007276	tr|Q8SX24|Q8SX24_DROME	XP_033178196.1, XP_012244425.1, XP_012244424.1
OG0007277	tr|A8JR01|A8JR01_DROME	XP_033178113.1, XP_033178110.1, XP_033178118.1, XP_033178117.1, XP_033178119.1, XP_033178120.1, XP_033178116.1, XP_033178114.1, XP_033178115.1, XP_033178112.1, XP_024225224.1, XP_024225223.1, XP_033178121.1, XP_033178109.1, XP_033178111.1
OG0007278	tr|Q9VW21|Q9VW21_DROME	XP_003491224.1, XP_033177807.1, XP_003491225.1, XP_033177806.1
OG0007279	sp|O61345|PENG_DROME	XP_012243332.1, XP_033177664.1
OG0007280	tr|Q9VNB2|Q9VNB2_DROME	XP_033177341.1
OG0007281	tr|Q9W4F8|Q9W4F8_DROME	XP_033177217.1, XP_033177216.1, XP_003490344.1, XP_033177218.1
OG0007282	tr|Q9VYA2|Q9VYA2_DROME, tr|Q9VYD2|Q9VYD2_DROME	XP_033177209.1, XP_012242173.1, XP_003490352.1
OG0007283	tr|M9PHH0|M9PHH0_DROME	XP_012242288.1, XP_033177179.1, XP_024224077.1
OG0007284	tr|Q9VBZ9|Q9VBZ9_DROME	XP_003490228.1, XP_033177093.1
OG0007285	tr|B7Z0Z5|B7Z0Z5_DROME	XP_033177048.1, XP_024223858.1, XP_024223857.1, XP_024223856.1, XP_003490140.1
OG0007286	tr|Q9W2L0|Q9W2L0_DROME, tr|A1ZBR3|A1ZBR3_DROME	XP_024223933.1, XP_033176998.1, XP_012241887.1
OG0007287	tr|Q8SYL1|Q8SYL1_DROME	XP_033176994.1, XP_024223934.1
OG0007288	tr|Q9VX74|Q9VX74_DROME, tr|Q9VZ97|Q9VZ97_DROME	XP_033176897.1, XP_024223768.1
OG0007289	sp|Q9VH90|TRBID_DROME	XP_024223788.1, XP_024223787.1, XP_003489996.1, XP_033176868.1
OG0007290	tr|A0A0B4LHC9|A0A0B4LHC9_DROME, tr|Q9VTQ5|Q9VTQ5_DROME	XP_033176840.1
OG0007291	sp|Q9W2S3|BTBD9_DROME	XP_033176834.1, XP_033176835.1, XP_003489942.1
OG0007292	tr|Q8IPQ2|Q8IPQ2_DROME	XP_024223609.1, XP_033176753.1, XP_003489767.1, XP_033176752.1, XP_024223608.1
OG0007293	tr|Q9VHY2|Q9VHY2_DROME, sp|P34739|TTF2_DROME	XP_033176710.1, XP_012241377.1
OG0007294	sp|Q7JRJ1|EAF_DROME	XP_003489725.1, XP_033176708.1
OG0007296	tr|Q7KLW9|Q7KLW9_DROME	XP_033176559.1
OG0007297	tr|Q9VIP9|Q9VIP9_DROME	XP_003489278.3, XP_033176433.1, XP_012241655.1, XP_024223727.1, XP_024223729.1
OG0007298	tr|Q9VFS4|Q9VFS4_DROME	XP_033176393.1, XP_024223145.1
OG0007299	tr|M9PI08|M9PI08_DROME	XP_033176206.1
OG0007299	sp|P22814|RUNT_DROME	XP_003488893.1
OG0007300	tr|Q9VKY3|Q9VKY3_DROME	XP_024222839.1, XP_033176181.1, XP_024222840.1
OG0007301	tr|A1Z7V9|A1Z7V9_DROME	XP_012239554.1, XP_033175987.1, XP_003488522.1, XP_033175988.1
OG0007302	tr|Q9VZF3|Q9VZF3_DROME	XP_033175962.1, XP_033175963.1, XP_024222516.1
OG0007303	sp|P26019|DPOLA_DROME	XP_033175876.1, XP_033175877.1, XP_003488387.2
OG0007304	tr|Q7PL26|Q7PL26_DROME	XP_033175857.1, XP_003488216.1
OG0007305	tr|A0A2U8U156|A0A2U8U156_DROME	XP_033175578.1
OG0007306	tr|Q9V437|Q9V437_DROME	XP_033175170.1, XP_012237594.1, XP_012237593.1
OG0007307	tr|Q9VSM8|Q9VSM8_DROME	XP_003487221.1, XP_033175132.1, XP_024221357.1
OG0007308	tr|A8DYT6|A8DYT6_DROME	XP_033175079.1, XP_024221290.1, XP_003487119.1, XP_033175078.1
OG0007309	tr|B7Z0Q2|B7Z0Q2_DROME	XP_024221137.2
OG0007310	tr|Q9VJX8|Q9VJX8_DROME	XP_003487020.1, XP_033174971.1, XP_012237050.1, XP_033174970.1
OG0007311	tr|Q9VXH4|Q9VXH4_DROME	XP_033174957.1, XP_033174956.1, XP_033174959.1, XP_012237161.1, XP_012237160.1, XP_024221176.1
OG0007312	tr|M9PI70|M9PI70_DROME	XP_012237021.1, XP_024221111.1, XP_003486937.1, XP_012237017.1, XP_024221107.1, XP_033174907.1, XP_033174906.1, XP_024221110.1, XP_033174905.1, XP_024221099.1, XP_024221106.1, XP_003486938.1, XP_033174909.1, XP_012237019.1, XP_033174908.1
OG0007314	tr|Q9VSC6|Q9VSC6_DROME	XP_033174788.1, XP_012236678.1, XP_033174789.1, XP_024220832.1
OG0007316	tr|Q9W4Y3|Q9W4Y3_DROME	XP_012236145.1, XP_024220588.1, XP_033174586.1, XP_033174598.1, XP_033174587.1, XP_033174588.1, XP_033174590.1, XP_033174595.1, XP_033174596.1, XP_033174597.1, XP_033174594.1, XP_033174593.1, XP_033174592.1, XP_033174591.1, XP_033174589.1
OG0007317	tr|M9PI14|M9PI14_DROME	XP_033174291.1, XP_003486000.1
OG0007318	sp|P23757|POXM_DROME	XP_033174273.1
OG0007319	tr|Q7K1W8|Q7K1W8_DROME	XP_012249993.1, XP_012249994.1, XP_033174260.1
OG0007320	tr|Q494K2|Q494K2_DROME	XP_024228435.1, XP_012249890.1, XP_033174243.1
OG0007321	tr|Q9VTN7|Q9VTN7_DROME	XP_033180829.1
OG0007322	sp|Q9VXA0|NPRL2_DROME	XP_024228329.1, XP_012249642.1, XP_012249643.1, XP_024228328.1, XP_033180780.1
OG0007323	sp|Q95SS8|TMM70_DROME	XP_033180719.1
OG0007324	tr|A0A0B4KFY0|A0A0B4KFY0_DROME	XP_033180642.1, XP_012249373.1, XP_024228144.2
OG0007325	tr|Q9VIG0|Q9VIG0_DROME	XP_033180047.1, XP_012248257.1, XP_033180052.1
OG0007326	tr|Q9VZU8|Q9VZU8_DROME	XP_033180034.1, XP_012248220.1
OG0007327	sp|P52656|T2AG_DROME	XP_033179035.1
OG0007328	tr|Q9VF20|Q9VF20_DROME	XP_033178371.1, XP_003485185.2
OG0007329	tr|Q9W457|Q9W457_DROME	XP_033177841.1, XP_024224865.1
OG0007330	sp|Q7KNA0|DYM_DROME	XP_033176974.1, XP_003484969.1
OG0007332	tr|M9PEG6|M9PEG6_DROME	XP_033176419.1, XP_033176422.1, XP_033176428.1, XP_024222366.1, XP_033176427.1, XP_033176430.1, XP_033176424.1
OG0007334	tr|Q9W4W8|Q9W4W8_DROME	XP_033175640.1
OG0007335	tr|Q9VM50|Q9VM50_DROME	XP_024227887.1
OG0007336	sp|P91622|PDK_DROME	XP_024227687.1, XP_012248507.1, XP_012248509.1
OG0007337	sp|P13360|GLAS_DROME	XP_012248060.1, XP_024227414.1, XP_012248059.1
OG0007338	tr|Q9VF25|Q9VF25_DROME	XP_024227299.1, XP_012247828.1, XP_024227297.1, XP_024227296.1
OG0007339	tr|Q9VY46|Q9VY46_DROME	XP_024227129.1, XP_003493729.1
OG0007340	sp|Q6AWN0|MTND_DROME	XP_024227026.1
OG0007341	tr|Q7KMP8|Q7KMP8_DROME	XP_024226953.1
OG0007342	tr|Q9VJ68|Q9VJ68_DROME	XP_024226894.1, XP_012247088.1, XP_003493493.1, XP_012247089.1
OG0007343	sp|Q8INF2|TAM41_DROME	XP_024226883.1
OG0007344	tr|Q9VRY7|Q9VRY7_DROME	XP_024226019.1, XP_003492408.1
OG0007345	tr|Q9VKX2|Q9VKX2_DROME	XP_024225789.1
OG0007346	sp|Q9VVT5|DTBP1_DROME	XP_003492020.1, XP_024225743.1
OG0007347	sp|Q9VR52|TILB_DROME	XP_024225711.1
OG0007348	tr|Q9VQZ0|Q9VQZ0_DROME	XP_024225255.1
OG0007349	tr|Q9V4B8|Q9V4B8_DROME	XP_024224762.1
OG0007351	sp|Q8IQ13|EIF1A_DROME	XP_024224382.1, XP_012242719.1
OG0007352	sp|Q9VL14|RTBP_DROME	XP_012242751.1, XP_024224309.1, XP_024224310.1
OG0007354	tr|Q7K2B1|Q7K2B1_DROME	XP_012241410.1, XP_024223616.1, XP_003489760.2, XP_012241412.1
OG0007355	tr|Q9VQK7|Q9VQK7_DROME	XP_024223152.1, XP_024223151.1
OG0007356	sp|P29617|PROS_DROME	XP_024223127.1
OG0007357	sp|Q9VZU2|HHAT_DROME	XP_024223027.1
OG0007358	sp|Q8SYD0|TTC19_DROME	XP_024223013.1
OG0007359	tr|Q9VS51|Q9VS51_DROME	XP_024223001.1, XP_003489081.1
OG0007360	tr|A1Z992|A1Z992_DROME	XP_012240218.1, XP_024222915.1
OG0007362	tr|Q9V3L0|Q9V3L0_DROME	XP_024222408.1
OG0007363	tr|Q9XYZ6|Q9XYZ6_DROME	XP_003488226.3
OG0007364	tr|Q9VT19|Q9VT19_DROME	XP_003488228.1, XP_024222262.1
OG0007365	tr|Q9VMT4|Q9VMT4_DROME	XP_024222138.1
OG0007366	sp|Q7PLI2|NIPB_DROME	XP_012238930.2
OG0007367	tr|E2QD98|E2QD98_DROME	XP_024222009.1
OG0007368	tr|Q9VRG6|Q9VRG6_DROME	XP_024221979.1
OG0007370	tr|Q9VEB2|Q9VEB2_DROME	XP_024221130.1
OG0007371	tr|Q7K159|Q7K159_DROME	XP_024220732.1, XP_012236417.1, XP_012236416.1
OG0007372	sp|Q9VM46|SEM1_DROME	XP_024220726.1
OG0007373	tr|Q8T3Z0|Q8T3Z0_DROME	XP_024220709.1
OG0007376	sp|Q01637|UMPS_DROME	XP_012244127.1, XP_012244122.1, XP_024225642.1
OG0007377	tr|Q7KN85|Q7KN85_DROME	XP_003485182.1, XP_012243814.1, XP_012243828.1, XP_024225406.1
OG0007378	tr|M9PFY3|M9PFY3_DROME	XP_003484915.1, XP_012241207.1, XP_024223179.1, XP_012241213.1, XP_024223176.1
OG0007379	sp|Q9VAW5|LARP_DROME	XP_003484887.1, XP_024223140.1, XP_024223137.1, XP_024223148.1, XP_012240933.1
OG0007380	tr|Q9VSP0|Q9VSP0_DROME	XP_024222167.1, XP_024222169.1
OG0007381	sp|P32027|CROC_DROME	XP_012236317.1
OG0007381	sp|Q02360|FD2_DROME	XP_024221695.1
OG0007382	tr|Q7KJA9|Q7KJA9_DROME	XP_012237420.1, XP_012237412.1, XP_024221329.1, XP_012237406.1
OG0007384	sp|Q8IQC1|TVP23_DROME	XP_003494903.1, XP_012249168.1, XP_012249167.1, XP_012249169.1
OG0007385	tr|Q9W0H6|Q9W0H6_DROME	XP_012248951.1
OG0007386	tr|Q7K0E6|Q7K0E6_DROME	XP_003493969.1, XP_012247809.1
OG0007388	tr|Q9VJZ2|Q9VJZ2_DROME	XP_012246971.1, XP_003486916.1, XP_012237131.1
OG0007389	tr|Q9W0M6|Q9W0M6_DROME	XP_003494913.1
OG0007390	sp|Q9VM90|SBKH_DROME	XP_003494892.1
OG0007391	tr|Q8IPA0|Q8IPA0_DROME, sp|Q9VKD3|NFS1_DROME	XP_003494859.1
OG0007392	tr|Q7JZR5|Q7JZR5_DROME	XP_003494715.1
OG0007393	tr|Q9VSG8|Q9VSG8_DROME	XP_003494096.1
OG0007394	tr|Q9W4H4|Q9W4H4_DROME, tr|Q7KVX1|Q7KVX1_DROME	XP_003493711.1, XP_003493712.1
OG0007395	tr|Q9VVX4|Q9VVX4_DROME	XP_003493639.1
OG0007396	tr|Q9VRE4|Q9VRE4_DROME	XP_003493625.1
OG0007397	tr|Q9VWK7|Q9VWK7_DROME	XP_003493552.1
OG0007398	tr|Q9VAL1|Q9VAL1_DROME	XP_003493544.1
OG0007399	tr|Q9VL81|Q9VL81_DROME	XP_003493390.1
OG0007400	sp|P25722|HS2ST_DROME	XP_012246905.1, XP_012246904.1, XP_003493331.1
OG0007401	tr|A0A0B4KG96|A0A0B4KG96_DROME	XP_012246629.1
OG0007402	sp|Q9V574|L2K1_DROME	XP_012246013.1
OG0007403	tr|Q8MT58|Q8MT58_DROME	XP_012245710.1, XP_003492574.1
OG0007404	sp|Q9VDD7|S35B1_DROME	XP_012245684.1
OG0007405	tr|Q7PLB8|Q7PLB8_DROME	XP_003488176.1
OG0007405	tr|B7Z001|B7Z001_DROME, tr|M9PB21|M9PB21_DROME	XP_012245318.1
OG0007407	sp|Q9U4H5|AMX_DROME	XP_012245015.1, XP_003492158.1
OG0007410	sp|Q9VC49|RPAB5_DROME	XP_012244314.1
OG0007411	sp|Q27297|RAD51_DROME	XP_012243861.1, XP_003491370.1
OG0007412	tr|Q9VIJ9|Q9VIJ9_DROME	XP_012243413.1
OG0007413	tr|H0RNK3|H0RNK3_DROME	XP_012243045.1, XP_003490883.1
OG0007414	sp|Q960E8|TF2H1_DROME	XP_012242765.1, XP_003490697.1
OG0007415	tr|Q9VZC8|Q9VZC8_DROME	XP_012242483.1, XP_003490498.1
OG0007416	tr|Q9VWI5|Q9VWI5_DROME	XP_012242482.1
OG0007417	tr|O97111|O97111_DROME	XP_012242480.1, XP_003490521.1
OG0007418	sp|Q9VKJ9|C2D1_DROME	XP_012242443.1, XP_012242442.1
OG0007419	sp|Q9VDZ4|NSUN5_DROME	XP_012242360.1
OG0007420	tr|Q95RC5|Q95RC5_DROME	XP_003490069.1, XP_012241826.1
OG0007424	tr|O18335|O18335_DROME	XP_012240810.1, XP_012240809.1
OG0007425	sp|Q9W2C3|ASPG2_DROME, tr|A1ZBI7|A1ZBI7_DROME, sp|Q8MR45|ASPG1_DROME	XP_012240691.1
OG0007427	tr|Q7K4T8|Q7K4T8_DROME	XP_003488355.1, XP_012239447.1
OG0007428	tr|Q9VY44|Q9VY44_DROME	XP_012239136.1
OG0007429	sp|Q5LJP9|ASND1_DROME	XP_012239044.1, XP_012239045.1
OG0007430	tr|Q9VEB6|Q9VEB6_DROME	XP_012239008.1
OG0007431	tr|D6W4T8|D6W4T8_DROME	XP_003488154.1, XP_012239002.1
OG0007432	sp|P92177|1433E_DROME	XP_012238911.1
OG0007433	tr|Q9VK44|Q9VK44_DROME	XP_012238508.1
OG0007434	tr|Q9W115|Q9W115_DROME	XP_012238335.1, XP_003487712.1
OG0007435	tr|Q9VL66|Q9VL66_DROME, tr|Q9VL67|Q9VL67_DROME, tr|Q9VL68|Q9VL68_DROME	XP_012238276.1, XP_012238277.1
OG0007436	tr|Q9VPJ1|Q9VPJ1_DROME	XP_012238231.1
OG0007437	tr|Q7KT06|Q7KT06_DROME	XP_003487497.1, XP_012238081.1
OG0007438	tr|E1JH07|E1JH07_DROME	XP_012238076.1
OG0007439	sp|Q9V3J8|WDS_DROME	XP_012237995.1
OG0007440	tr|Q9V428|Q9V428_DROME	XP_012237830.1, XP_012237828.1
OG0007441	tr|B7Z0R3|B7Z0R3_DROME	XP_012237681.1, XP_003487344.1
OG0007442	tr|Q9VAX9|Q9VAX9_DROME	XP_012237595.1
OG0007443	sp|A0A0B7P9G0|UEX_DROME	XP_012237140.1, XP_012237139.1
OG0007444	sp|Q9VLP3|MSS4_DROME	XP_012237027.1
OG0007447	tr|Q8SXB0|Q8SXB0_DROME	XP_003486266.2, XP_012250470.1
OG0007448	tr|Q9V9C8|Q9V9C8_DROME, tr|Q8T8Y5|Q8T8Y5_DROME	XP_012250193.1, XP_012250192.1, XP_012250194.1
OG0007449	tr|Q8IPD2|Q8IPD2_DROME, tr|Q9VTI5|Q9VTI5_DROME, tr|Q9W3X5|Q9W3X5_DROME, tr|Q9W3X6|Q9W3X6_DROME	XP_012249961.1, XP_012249960.1, XP_003485995.1
OG0007450	tr|Q7K483|Q7K483_DROME	XP_012249780.1
OG0007451	tr|Q9VHY6|Q9VHY6_DROME	XP_003485666.2, XP_012249400.1
OG0007452	sp|Q04499|PROD_DROME	XP_012249367.1, XP_003485597.1
OG0007454	tr|Q9VZT2|Q9VZT2_DROME	XP_012249073.1
OG0007455	tr|Q9NGL1|Q9NGL1_DROME	XP_012246376.1
OG0007456	tr|Q59E67|Q59E67_DROME	XP_012244845.1
OG0007457	sp|Q9VN19|GET4_DROME	XP_003485066.2
OG0007459	tr|Q8IPJ9|Q8IPJ9_DROME, tr|Q9VJT3|Q9VJT3_DROME, sp|Q95RX5|KCMF1_DROME	XP_012240277.1, XP_012240270.1
OG0007460	tr|Q9W413|Q9W413_DROME	XP_012239385.1
OG0007461	tr|X2JDZ1|X2JDZ1_DROME	XP_003484410.1, XP_012238478.1, XP_012238667.1, XP_012238598.1
OG0007462	tr|Q95TV5|Q95TV5_DROME, sp|O76932|PP4C_DROME	XP_003493354.1
OG0007463	tr|Q9VAR0|Q9VAR0_DROME	XP_003493344.1
OG0007464	tr|Q6IGE3|Q6IGE3_DROME	XP_003493213.1
OG0007465	tr|Q9VAQ9|Q9VAQ9_DROME, sp|Q9VB46|APMAP_DROME	XP_003493111.1
OG0007467	tr|Q8INR5|Q8INR5_DROME, tr|Q9VHZ5|Q9VHZ5_DROME	XP_003492981.1
OG0007468	tr|Q9VI85|Q9VI85_DROME	XP_003492979.1
OG0007469	sp|Q9VSC1|SRP09_DROME	XP_003492806.1
OG0007470	sp|Q9VFJ2|RM11_DROME	XP_003492768.1
OG0007471	sp|Q9VAQ7|SLU7_DROME	XP_003492579.1
OG0007472	sp|P29845|HSP7E_DROME	XP_003492512.1
OG0007474	sp|Q9VU95|AGT2L_DROME	XP_003492276.1
OG0007475	tr|Q9VG62|Q9VG62_DROME	XP_003492273.1
OG0007476	tr|Q9VW77|Q9VW77_DROME	XP_003492207.1
OG0007477	sp|Q9U3V9|XMAS_DROME	XP_003492052.1
OG0007478	sp|Q7JXV9|VPS25_DROME	XP_003491998.1
OG0007479	sp|Q9XTM1|EXOC5_DROME	XP_003491990.1
OG0007480	tr|Q9VTZ1|Q9VTZ1_DROME	XP_003491926.1
OG0007481	sp|Q9VCI5|DHSD_DROME	XP_003491901.1
OG0007482	sp|Q01604|PGK_DROME, tr|Q9VQF4|Q9VQF4_DROME	XP_003491884.1
OG0007483	sp|Q9VPS5|CH60B_DROME, tr|Q9VJX7|Q9VJX7_DROME, sp|Q9VMN5|CH60C_DROME, sp|O02649|CH60A_DROME	XP_003491864.1
OG0007485	sp|A1Z6M6|TTC4_DROME	XP_003491696.1
OG0007486	sp|Q9VZ64|6PGL_DROME	XP_003491630.1
OG0007487	tr|Q9VKW5|Q9VKW5_DROME, tr|Q9V9P5|Q9V9P5_DROME	XP_003491520.1
OG0007488	tr|Q961D1|Q961D1_DROME	XP_003491388.1
OG0007489	tr|Q9VZU7|Q9VZU7_DROME	XP_003491376.1
OG0007490	sp|Q23978|MY31D_DROME	XP_003491375.1
OG0007491	sp|Q9VMQ7|ELP4_DROME	XP_003491298.1
OG0007492	tr|A0A0B4K701|A0A0B4K701_DROME, tr|A1Z891|A1Z891_DROME	XP_003491242.1
OG0007493	tr|Q8MYL1|Q8MYL1_DROME	XP_003490958.1
OG0007494	sp|Q9W1X4|NU214_DROME	XP_003490879.1
OG0007495	tr|Q9W3Y3|Q9W3Y3_DROME	XP_003490826.1
OG0007496	sp|Q9VL59|ZGPAT_DROME	XP_003490819.1
OG0007497	sp|Q9VGR2|NDUF7_DROME	XP_003490720.1
OG0007499	sp|Q27333|NT56_DROME	XP_003490404.1
OG0007501	sp|P25724|NANOS_DROME	XP_003490239.1
OG0007502	tr|A0A4D6K2Q0|A0A4D6K2Q0_DROME	XP_003490085.1
OG0007503	sp|Q9VE11|U488_DROME	XP_003489965.1
OG0007504	tr|Q8IPT0|Q8IPT0_DROME	XP_003489954.1
OG0007505	sp|P91927|LETM1_DROME	XP_003489840.1
OG0007506	tr|Q7JV61|Q7JV61_DROME	XP_003489644.1, XP_003489643.1
OG0007507	tr|Q8SX38|Q8SX38_DROME	XP_003489620.1
OG0007508	sp|Q7KVQ0|GAR1_DROME	XP_003489549.1
OG0007509	sp|Q24208|IF2G_DROME	XP_003489527.1
OG0007510	sp|P40417|ERKA_DROME	XP_003489440.1
OG0007511	sp|Q8INQ7|KTAP2_DROME	XP_003489422.1
OG0007512	sp|O44437|SMD3_DROME	XP_003489349.1
OG0007513	sp|Q7JW12|TMX2_DROME	XP_003489295.1
OG0007514	tr|Q8SYP9|Q8SYP9_DROME	XP_003489201.1
OG0007515	tr|Q9VGQ1|Q9VGQ1_DROME	XP_003489176.1
OG0007517	sp|Q9VQX4|PNCB_DROME	XP_003489036.1, XP_003489037.1
OG0007518	tr|Q9W4D1|Q9W4D1_DROME	XP_003488906.1
OG0007519	sp|Q9V813|MTAP_DROME, sp|Q8IMU4|PNPH_DROME	XP_003488781.1
OG0007520	sp|Q6WV19|GALT2_DROME	XP_003488663.1
OG0007521	tr|Q9VK18|Q9VK18_DROME	XP_003488232.1
OG0007522	tr|Q9VBY6|Q9VBY6_DROME	XP_003488026.1
OG0007523	sp|Q9VYI3|RM49_DROME	XP_003487840.1
OG0007524	sp|Q9VTH4|SCLLA_DROME, sp|Q9VTI8|CHRB_DROME	XP_003487606.1
OG0007525	tr|Q8SX44|Q8SX44_DROME	XP_003487402.1
OG0007526	tr|Q9VS10|Q9VS10_DROME	XP_003487124.1
OG0007527	sp|Q9VRL3|PFD4_DROME	XP_003487117.1
OG0007528	sp|Q9VW56|PFD6_DROME	XP_003486945.1
OG0007529	tr|Q9W389|Q9W389_DROME	XP_003486850.1
OG0007530	sp|Q9NLA6|OAF_DROME	XP_003486607.1
OG0007531	tr|Q8I077|Q8I077_DROME	XP_003486433.1
OG0007532	sp|Q9VXJ0|DHB4_DROME	XP_003486274.1
OG0007533	sp|P25157|GNAL_DROME	XP_003486194.1
OG0007534	tr|Q9W4I3|Q9W4I3_DROME	XP_003486184.1
OG0007535	sp|Q9VYY2|SPCS2_DROME	XP_003485975.1
OG0007536	sp|Q7K0Y1|BOP1_DROME	XP_003485813.1
OG0007537	tr|Q9VQ59|Q9VQ59_DROME, tr|Q6IIA4|Q6IIA4_DROME	XP_003485794.1
OG0007538	tr|Q9VI57|Q9VI57_DROME	XP_003485711.1
OG0007539	sp|Q24509|STX5_DROME	XP_003485701.1
OG0007540	tr|Q9W299|Q9W299_DROME, tr|Q9W298|Q9W298_DROME, tr|Q9V3Z7|Q9V3Z7_DROME, tr|Q9W2A0|Q9W2A0_DROME	XP_003485482.1
OG0007541	sp|Q94514|COX5A_DROME	XP_003485444.1
OG0007542	tr|A1ZA28|A1ZA28_DROME	XP_003485414.1
